CustomerID,Churn,Tenure,Gender,AppTime,Complain,OrderIncrease,OrderCount,InactiveDays,CashbackAmount,Summary,Text,Sentiment_Score
50001,1,4.0,Female,3.0,1,11.0,1.0,5.0,159.93,very good coffee,I generally prefer to grind whole bean coffee but I decided to give this a try since it was on sale. I really like it. In fact I'm drinking a cup of it while writing this review. It has a definite yet subtle nutty flavor to it. Just the right amount of flavor. I would like to try the whole bean but I would certainly buy this again.,0.97
50002,1,10.0,Male,3.0,1,15.0,1.0,0.0,120.9,Great,"Love these, they are not too sweet and perfect for stashing in purse or car for quick snack.  Have to get them when they are on sale, as they are quite pricey",0.94
50003,1,10.0,Male,2.0,1,14.0,1.0,3.0,120.28,We LOVE this stuff!,"I haven't tried the other flavors because they don't sound as appealing as Thai Peanut, which my whole family loves.  I don't know if ""jerky"" is quite the word, as it obviously throws off some people who only call the hard, dry stuff jerky. But this is a yummy, flavorful snack with a nice, chewy texture and just a touch of that tough-to-bite-off feel.  A great toss-in-the-bag snack for when we go out that satisfies the craving for something savory.",0.75
50004,1,0.0,Male,2.0,0,23.0,1.0,3.0,134.07,"Bold, not extra bold","Dark Magic doesn't taste overwhelming.  No burnt flavor. Tolerable straight black. I add creamer and one packet of stevia and it still holds it's bold flavor, just a little milder.  Nutty taste.",0.55
50005,1,0.0,Male,3.0,0,11.0,1.0,3.0,129.6,They're Swedish Fish,"What more do you need to know? If you like Swedish Fish, these are it. If you don't, well, you're odd. because Swedish Fish are awesome.",0.82
50006,1,0.0,Female,3.0,1,22.0,6.0,7.0,139.19,Terrific coffee!,"We typically buy the Donut Shop coffee and the Jet Fuel. My wife prefers Donut Shop, while I like the bolder Jet Fuel.  It's not too strong, and not too weak.  Just right, in my opinion.  I'll keep buying in the future.",0.91
50007,1,10.0,Male,2.0,0,14.0,1.0,0.0,120.86,Hot Cocoa k cups,My Husband said it tastes wonderful!! Just like you would get in a restaurant....creamy and flavorful! Hightly Recommends this product!,0.99
50008,1,10.0,Male,3.0,1,16.0,2.0,0.0,122.93,wow - these actually work,"These stay in place and retaini the grounds for an easy clean up. take the foil top off of a used plastic k-cup and rinse it out in the sink, avoiding tearing the filter in the cup. fill the cup with coffee ground for espresso and smash the lid down into the cup. makes a cup of coffee just as stong as any prepacked k-cup (i own the cuisinart keurig coffee maker).",0.55
50009,1,13.0,Male,3.0,1,14.0,1.0,2.0,126.83,Mellow Coffee with a New York Attitude,I received a sampler of Brooklyn Brewery's K-cup coffee and probably tried half of them within two days. I love the names of their flavors and I had no problem with any of the K-cups as some stated below. I found the flavors of the coffees to be light and mellow. I found it to be a good choice for a later morning and afternoon cup of joe. For my morning cup I am sticking with Revv.,0.98
50010,1,10.0,Male,2.0,0,12.0,1.0,1.0,122.93,Chewing gum,"this is a good product for people who like gum but have dental work to which most gum sticks.<br /><br />I've ordered from Amazon because they have the best price for bulk purchases; I save almost 40% off per-pack retail prices.<br /><br />There is potential for a problem; Wrigley dates each of its bulk packages with a best by date. Generally, Wrigley gum is 'fresh' if the best by date is 6 months or more in the future. Current shipments from Amazon are dated 5/9/09; this is only 2 months away. There is potential to receive stale product; Amazon would most likely accept a return but we don't buy things with the expectation we will return them.",0.79
50011,1,4.0,Female,2.0,0,16.0,15.0,8.0,295.45,Not even close to what I hoped for,"I can eat just about anything, but these went down the garbage disposal.  I followed instructions and used pasta sauce on them, couldn't eat them......added freshly grated cheese...still couldnt eat them.  The texture is just awful, sort of like chewing on cartilage.  I don't know what I am going to do with the extra bags.",-0.97
50012,1,11.0,Male,3.0,1,13.0,1.0,0.0,153.81,Purina Cat Chow,"Prompt delivery for a product I use every day, and I didn't have to go out and drag bags home from a store myself!  Thank you.",0.95
50013,1,0.0,Male,2.0,1,13.0,2.0,2.0,134.41,Luv It!!,"I luv this tomato paste.  So convenient to use and gives great ""zip"" to many of my recipes.  Shipper is quick and efficient.  Thanks",0.99
50014,1,0.0,Male,3.0,1,17.0,1.0,0.0,133.88,Always great quality!,"Great tuna, great price...doesn't smell fishy like some other brands! Love it! Fast delivery to your door! Five stars from me!",0.98
50015,1,9.0,Male,3.0,0,16.0,4.0,7.0,196.19,My kitties love the feast!,"Fancy feast is a good wet food for cats.  I'm not sure why everyone likes to pretend it's some kind of candy for cats- the ingredient list is far superior to any dry food you can feed them, including your extra carby ""holistic"" options.  My cats like all three flavors in this package, but I worry about feeding it to them too often with the rising mercury levels in fish.  I end up getting one seafood variety pack for every three cases of the other ""Classic"" varieties of Fancy Feast.<br /><br />I actually can find this pack for 10.87 locally at my grocery store so I buy it there, but comparing it to pet stores, this is great deal when using the subscribe and save option.<br /><br />I used to pay a bit more for Call of The Wild dry food, a wonderful high protein option for those of us concerned with convenience, but I finally decided my furbabies liquid intake was a bit more important than my desire to free feed.",0.51
50016,1,10.0,Male,3.0,1,22.0,1.0,2.0,120.73,Not Lipton's,"I wanted an organic alternative to Lipton onion soup mix which I use in several recipies.  This is heavy on garlic.  I only use 1/2 an envelope per recipe and it's a decent replacement, but not the same flavor.  Will buy again just to avoid MSG.",0.49
50017,1,0.0,Female,3.0,1,18.0,1.0,0.0,129.26,great buy,"my son is a year and 8 months and he loves these.  They are a little sticky but not enough to get things messy.  I like that they are not like the other fruit snacks that are thin and hardly anything there, these are thick enough that you feel like it is a snack not just a taste.  I will be buying more.",0.96
50018,1,0.0,Male,2.0,1,11.0,1.0,3.0,157.44,Multi Grain Chips good!,"These chips are very good in taste and with more than the usual grams of fiber, a good choice.  They came very fresh and in good shape--no crushed bags.",0.99
50019,1,0.0,Male,3.0,1,24.0,1.0,6.0,160.74,Very Good Paste,"I ordered this on sale just to see what the hype was all about - now I know. It is very good curry paste. I prepared it according to the reviews; using milk instead of water, using less butter (1 T), browning the chicken before adding liquid, and adding lots of delicious vegetables. Obviously, this is not as good as preparing the spices from scratch, but it is a good substitute for a delicious and reasonably priced Indian curry dinner. It is spicy and has a kick to it (yum!). I recommend it.",0.92
50020,1,19.0,Female,3.0,1,18.0,4.0,3.0,149.63,Great antioxidant,I love the aroma and flavor of this tea. I drink it every morning after my breakfast and would recommend it as a great alternative to coffee.,0.99
